x_acc,y_acc,z_acc,label
-0.004,-1.011,-0.023,silence
-0.008,-1.008,-0.023,silence
-0.012,-1.009,-0.018,silence
-0.013,-1.006,-0.028,silence
-0.009,-1.01,-0.023,silence
-0.009,-1.007,-0.024,silence
-0.008,-1.01,-0.026,silence
-0.005,-1.006,-0.025,silence
-0.001,-1.014,-0.018,silence
-0.002,-1.012,-0.025,silence
0.001,-1.012,-0.02,silence
0.008,-1.014,-0.024,silence
0.005,-1.017,-0.025,silence
0.011,-1.013,-0.026,silence
0.007,-1.015,-0.031,silence
0.006,-1.01,-0.022,silence
0.007,-1.02,-0.022,silence
-0.005,-1.002,0.02,silence
0.017,-1.006,-0.08,silence
-0.019,-1.007,-0.023,silence
0.005,-1.019,-0.012,silence
-0.01,-1.008,-0.045,silence
-0.013,-1.007,-0.035,silence
-0.005,-1.008,-0.006,silence
-0.004,-1.01,-0.028,silence
-0.01,-1.005,-0.019,silence
-0.008,-1.011,-0.015,silence
0.006,-1.01,-0.041,silence
-0.015,-1.007,-0.021,silence
0.013,-1.016,-0.026,silence
-0.01,-1.008,-0.023,silence
0.003,-1.017,-0.018,silence
0.006,-1.016,-0.02,silence
0.005,-1.015,-0.038,silence
0.004,-1.012,-0.012,silence
0.016,-1.016,-0.032,silence
-0.002,-1.011,-0.031,silence
0.009,-1.016,-0.022,silence
0.0,-1.009,-0.031,silence
-0.011,-1.009,-0.016,silence
0.003,-1.008,-0.017,silence
-0.013,-1.006,-0.03,silence
-0.009,-1.009,-0.014,silence
0.002,-1.011,-0.021,silence
-0.015,-0.998,-0.036,silence
-0.005,-1.012,-0.009,silence
-0.004,-1.006,-0.042,silence
-0.016,-1.012,-0.012,silence
0.009,-1.012,-0.027,silence
-0.008,-1.012,-0.026,silence
0.009,-1.016,-0.021,silence
0.009,-1.016,-0.02,silence
0.009,-1.012,-0.044,silence
0.002,-1.015,-0.005,silence
0.014,-1.011,-0.036,silence
-0.002,-1.015,-0.012,silence
0.012,-1.016,-0.018,silence
0.007,-1.011,-0.036,silence
-0.009,-1.011,-0.016,silence
0.007,-1.011,-0.021,silence
-0.014,-1.009,-0.033,silence
-0.009,-1.006,-0.018,silence
-0.007,-1.01,-0.022,silence
-0.012,-1.007,-0.037,silence
-0.009,-1.013,-0.012,silence
-0.001,-1.009,-0.034,silence
-0.013,-1.007,-0.019,silence
0.002,-1.011,-0.015,silence
-0.003,-1.011,-0.024,silence
-0.008,-1.011,-0.019,silence
0.008,-1.018,-0.012,silence
0.002,-1.009,-0.042,silence
0.008,-1.017,-0.01,silence
0.021,-1.016,-0.037,silence
-0.003,-1.011,-0.013,silence
0.018,-1.013,-0.021,silence
-0.007,-1.01,-0.026,silence
-0.0,-1.008,-0.02,silence
0.004,-1.011,-0.02,silence
-0.005,-1.006,-0.044,silence
-0.011,-1.01,-0.018,silence
-0.006,-1.007,-0.038,silence
-0.014,-1.002,-0.025,silence
-0.013,-1.011,-0.007,silence
-0.001,-1.009,-0.029,silence
-0.019,-1.007,-0.019,silence
0.005,-1.012,-0.022,silence
-0.005,-1.011,-0.027,silence
-0.008,-1.008,-0.022,silence
